time,technology,spatial,0
0,Solar,RO21,0.0
0,Solar,RO22,0.0
0,Solar,RO31,0.0
0,Solar,RO32,0.0
0,Solar,RO41,0.0
0,Solar,RO42,0.0
0,Solar,SE11,0.0
0,Solar,SE12,0.0
0,Solar,SE21,0.0
0,Solar,SE22,0.0
0,Solar,SE23,0.0
0,Solar,SE31,0.0
0,Solar,SE32,0.0
0,Solar,SE33,0.0
0,Solar,SI03,0.0
0,Solar,SI04,0.0
0,Solar,SK01,0.0
0,Solar,SK02,0.0
0,Solar,SK03,0.0
0,Solar,SK04,0.0
0,Solar,UKC1,0.0
0,Solar,UKC2,0.0
0,Solar,UKD1,0.0
0,Solar,UKD3,0.0
0,Solar,UKD4,0.0
0,Solar,UKD6,0.0
0,Solar,UKD7,0.0
0,Solar,UKE1,0.0
0,Solar,UKE2,0.0
0,Solar,UKE3,0.0
0,Solar,UKE4,0.0
0,Solar,UKF1,0.0
0,Solar,UKF2,0.0
0,Solar,UKF3,0.0
0,Solar,UKG1,0.0
0,Solar,UKG2,0.0
0,Solar,UKG3,0.0
0,Solar,UKH1,0.0
0,Solar,UKH2,0.0
0,Solar,UKH3,0.0
0,Solar,UKI3,
0,Solar,UKI4,
0,Solar,UKI5,
0,Solar,UKI6,
0,Solar,UKI7,
0,Solar,UKJ1,0.0
0,Solar,UKJ2,0.0
0,Solar,UKJ3,0.0
0,Solar,UKJ4,0.0
0,Solar,UKK1,0.0
0,Solar,UKK2,0.0
0,Solar,UKK3,0.0
0,Solar,UKK4,0.0
0,Solar,UKL1,0.0
0,Solar,UKL2,0.0
0,Solar,UKM5,0.0
0,Solar,UKM6,0.0
0,Solar,UKM7,0.0
0,Solar,UKM8,0.0
0,Solar,UKM9,0.0
0,Solar,UKN0,0.0
1,Solar,AT11,0.0
1,Solar,AT12,0.0
1,Solar,AT13,0.0
1,Solar,AT21,0.0
1,Solar,AT22,0.0
1,Solar,AT31,0.0
1,Solar,AT32,0.0
1,Solar,AT33,0.0
1,Solar,AT34,0.0
1,Solar,BE10,
1,Solar,BE21,0.0
1,Solar,BE22,0.0
1,Solar,BE23,0.0
1,Solar,BE24,0.0
1,Solar,BE25,0.0
1,Solar,BE31,0.0
1,Solar,BE32,0.0
1,Solar,BE33,0.0
1,Solar,BE34,0.0
1,Solar,BE35,0.0
1,Solar,BG31,0.0
1,Solar,BG32,0.0
1,Solar,BG33,0.0
1,Solar,BG34,0.0
1,Solar,BG41,0.0
1,Solar,BG42,0.0
1,Solar,CH01,0.0
1,Solar,CH02,0.0
1,Solar,CH03,0.0
1,Solar,CH04,0.0
1,Solar,CH05,0.0
1,Solar,CH06,0.0
1,Solar,CH07,0.0
1,Solar,CZ01,0.0
1,Solar,CZ02,0.0
1,Solar,CZ03,0.0
1,Solar,CZ04,0.0
1,Solar,CZ05,0.0
1,Solar,CZ06,0.0
1,Solar,CZ07,0.0
1,Solar,CZ08,0.0
1,Solar,DE11,0.0
1,Solar,DE12,0.0
1,Solar,DE13,0.0
1,Solar,DE14,0.0
1,Solar,DE21,0.0
1,Solar,DE22,0.0
1,Solar,DE23,0.0
1,Solar,DE24,0.0
1,Solar,DE25,0.0
1,Solar,DE26,0.0
1,Solar,DE27,0.0
1,Solar,DE30,0.0
1,Solar,DE40,0.0
1,Solar,DE50,
1,Solar,DE60,0.0
1,Solar,DE71,0.0
1,Solar,DE72,0.0
1,Solar,DE73,0.0
1,Solar,DE80,0.0
1,Solar,DE91,0.0
1,Solar,DE92,0.0
1,Solar,DE93,0.0
1,Solar,DE94,0.0
1,Solar,DEA1,0.0
1,Solar,DEA2,0.0
1,Solar,DEA3,0.0
1,Solar,DEA4,0.0
1,Solar,DEA5,0.0
1,Solar,DEB1,0.0
1,Solar,DEB2,0.0
1,Solar,DEB3,0.0
1,Solar,DEC0,0.0
1,Solar,DED2,0.0
1,Solar,DED4,0.0
1,Solar,DED5,0.0
1,Solar,DEE0,0.0
1,Solar,DEF0,0.0
1,Solar,DEG0,0.0
1,Solar,DK01,0.0
1,Solar,DK02,0.0
1,Solar,DK03,0.0
1,Solar,DK04,0.0
1,Solar,DK05,0.0
1,Solar,EE00,0.0
1,Solar,ES11,0.0
1,Solar,ES12,0.0
1,Solar,ES13,0.0
1,Solar,ES21,0.0
1,Solar,ES22,0.0
1,Solar,ES23,0.0
1,Solar,ES24,0.0
1,Solar,ES30,0.0
1,Solar,ES41,0.0
1,Solar,ES42,0.0
1,Solar,ES43,0.0
1,Solar,ES51,0.0
1,Solar,ES52,0.0
1,Solar,ES53,0.0
1,Solar,ES61,0.0
1,Solar,ES62,0.0
1,Solar,ES63,
1,Solar,FI19,0.0
1,Solar,FI1B,0.0
1,Solar,FI1C,0.0
1,Solar,FI1D,0.0
1,Solar,FI20,0.0
1,Solar,FR10,0.0
1,Solar,FRB0,0.0
1,Solar,FRC1,0.0
1,Solar,FRC2,0.0
1,Solar,FRD1,0.0
1,Solar,FRD2,0.0
1,Solar,FRE1,0.0
1,Solar,FRE2,0.0
1,Solar,FRF1,0.0
1,Solar,FRF2,0.0
1,Solar,FRF3,0.0
