time,countries,technology,value
7,IE,HydroRes,1.0
7,IT,HydroRes,3820.0
7,LT,HydroRes,53.0
7,LV,HydroRes,271.0
7,NO,HydroRes,9234.0
7,PL,HydroRes,196.0
7,PT,HydroRes,4297.0
7,RO,HydroRes,3296.0
7,SE,HydroRes,4807.0
7,SI,HydroRes,357.0
7,SK,HydroRes,171.0
7,UK,HydroRes,264.0
8,AT,HydroRes,1021.0
8,BE,HydroRes,6.0
8,BG,HydroRes,141.0
8,CH,HydroRes,1040.0
8,CZ,HydroRes,202.0
8,DE,HydroRes,147.0
8,ES,HydroRes,5883.0
8,FI,HydroRes,525.0
8,FR,HydroRes,5923.0
8,GR,HydroRes,545.0
8,HR,HydroRes,7390.0
8,HU,HydroRes,56.0
8,IE,HydroRes,1.0
8,IT,HydroRes,3941.0
8,LT,HydroRes,51.0
8,LV,HydroRes,262.0
8,NO,HydroRes,9267.0
8,PL,HydroRes,189.0
8,PT,HydroRes,4472.0
8,RO,HydroRes,3695.0
8,SE,HydroRes,4790.0
8,SI,HydroRes,359.0
8,SK,HydroRes,161.0
8,UK,HydroRes,265.0
9,AT,HydroRes,1024.0
9,BE,HydroRes,6.0
9,BG,HydroRes,148.0
9,CH,HydroRes,1041.0
9,CZ,HydroRes,198.0
9,DE,HydroRes,143.0
9,ES,HydroRes,5856.0
9,FI,HydroRes,517.0
9,FR,HydroRes,5804.0
9,GR,HydroRes,600.0
9,HR,HydroRes,6771.0
9,HU,HydroRes,53.0
9,IE,HydroRes,1.0
9,IT,HydroRes,4101.0
9,LT,HydroRes,49.0
9,LV,HydroRes,255.0
9,NO,HydroRes,9293.0
9,PL,HydroRes,183.0
9,PT,HydroRes,4448.0
9,RO,HydroRes,4081.0
9,SE,HydroRes,4776.0
9,SI,HydroRes,361.0
9,SK,HydroRes,153.0
9,UK,HydroRes,265.0
10,AT,HydroRes,1028.0
10,BE,HydroRes,6.0
10,BG,HydroRes,161.0
10,CH,HydroRes,1043.0
10,CZ,HydroRes,194.0
10,DE,HydroRes,140.0
10,ES,HydroRes,5801.0
10,FI,HydroRes,511.0
10,FR,HydroRes,5714.0
10,GR,HydroRes,618.0
10,HR,HydroRes,6232.0
10,HU,HydroRes,49.0
10,IE,HydroRes,1.0
10,IT,HydroRes,4260.0
10,LT,HydroRes,47.0
10,LV,HydroRes,249.0
10,NO,HydroRes,9314.0
10,PL,HydroRes,179.0
10,PT,HydroRes,4315.0
10,RO,HydroRes,4482.0
10,SE,HydroRes,4765.0
10,SI,HydroRes,364.0
10,SK,HydroRes,150.0
10,UK,HydroRes,266.0
11,AT,HydroRes,1035.0
11,BE,HydroRes,6.0
11,BG,HydroRes,173.0
11,CH,HydroRes,1046.0
11,CZ,HydroRes,192.0
11,DE,HydroRes,138.0
11,ES,HydroRes,5822.0
11,FI,HydroRes,506.0
11,FR,HydroRes,5643.0
11,GR,HydroRes,662.0
11,HR,HydroRes,5801.0
11,HU,HydroRes,45.0
11,IE,HydroRes,1.0
11,IT,HydroRes,4402.0
11,LT,HydroRes,46.0
11,LV,HydroRes,244.0
11,NO,HydroRes,9331.0
11,PL,HydroRes,175.0
11,PT,HydroRes,4187.0
11,RO,HydroRes,4774.0
11,SE,HydroRes,4755.0
11,SI,HydroRes,368.0
11,SK,HydroRes,148.0
11,UK,HydroRes,266.0
12,AT,HydroRes,1044.0
12,BE,HydroRes,6.0
12,BG,HydroRes,182.0
12,CH,HydroRes,1052.0
12,CZ,HydroRes,189.0
12,DE,HydroRes,136.0
12,ES,HydroRes,5868.0
12,FI,HydroRes,501.0
12,FR,HydroRes,5608.0
12,GR,HydroRes,697.0
12,HR,HydroRes,5522.0
12,HU,HydroRes,42.0
12,IE,HydroRes,1.0
12,IT,HydroRes,4469.0
12,LT,HydroRes,45.0
12,LV,HydroRes,240.0
12,NO,HydroRes,9344.0
12,PL,HydroRes,171.0
12,PT,HydroRes,4038.0
12,RO,HydroRes,4835.0
12,SE,HydroRes,4747.0
12,SI,HydroRes,373.0
12,SK,HydroRes,146.0
12,UK,HydroRes,266.0
13,AT,HydroRes,1054.0
13,BE,HydroRes,6.0
13,BG,HydroRes,186.0
13,CH,HydroRes,1066.0
13,CZ,HydroRes,188.0
13,DE,HydroRes,135.0
13,ES,HydroRes,5926.0
13,FI,HydroRes,497.0
13,FR,HydroRes,5592.0
13,GR,HydroRes,739.0
13,HR,HydroRes,5343.0
13,HU,HydroRes,39.0
13,IE,HydroRes,1.0
13,IT,HydroRes,4484.0
13,LT,HydroRes,44.0
13,LV,HydroRes,236.0
13,NO,HydroRes,9356.0
13,PL,HydroRes,168.0
13,PT,HydroRes,3881.0
13,RO,HydroRes,4773.0
13,SE,HydroRes,4740.0
13,SI,HydroRes,377.0
13,SK,HydroRes,144.0
13,UK,HydroRes,267.0
14,AT,HydroRes,1059.0
14,BE,HydroRes,6.0
14,BG,HydroRes,188.0
14,CH,HydroRes,1088.0
14,CZ,HydroRes,186.0
14,DE,HydroRes,134.0
14,ES,HydroRes,5970.0
14,FI,HydroRes,494.0
14,FR,HydroRes,5548.0
14,GR,HydroRes,790.0
14,HR,HydroRes,5185.0
14,HU,HydroRes,37.0
14,IE,HydroRes,1.0
14,IT,HydroRes,4495.0
14,LT,HydroRes,43.0
14,LV,HydroRes,233.0
14,NO,HydroRes,9366.0
14,PL,HydroRes,165.0
14,PT,HydroRes,3727.0
14,RO,HydroRes,4678.0
14,SE,HydroRes,4735.0
14,SI,HydroRes,379.0
14,SK,HydroRes,139.0
14,UK,HydroRes,267.0
15,AT,HydroRes,1060.0
15,BE,HydroRes,7.0
15,BG,HydroRes,187.0
15,CH,HydroRes,1115.0
15,CZ,HydroRes,185.0
15,DE,HydroRes,133.0
15,ES,HydroRes,5976.0
15,FI,HydroRes,491.0
15,FR,HydroRes,5455.0
15,GR,HydroRes,825.0
15,HR,HydroRes,5014.0
15,HU,HydroRes,35.0
15,IE,HydroRes,1.0
15,IT,HydroRes,4460.0
15,LT,HydroRes,42.0
15,LV,HydroRes,230.0
15,NO,HydroRes,9375.0
15,PL,HydroRes,162.0
15,PT,HydroRes,3581.0
15,RO,HydroRes,4540.0
15,SE,HydroRes,4730.0
15,SI,HydroRes,381.0
15,SK,HydroRes,134.0
15,UK,HydroRes,267.0
16,AT,HydroRes,1060.0
16,BE,HydroRes,7.0
16,BG,HydroRes,188.0
16,CH,HydroRes,1136.0
16,CZ,HydroRes,183.0
16,DE,HydroRes,132.0
16,ES,HydroRes,5935.0
16,FI,HydroRes,488.0
16,FR,HydroRes,5314.0
16,GR,HydroRes,890.0
16,HR,HydroRes,4899.0
16,HU,HydroRes,33.0
16,IE,HydroRes,1.0
16,IT,HydroRes,4422.0
16,LT,HydroRes,41.0
16,LV,HydroRes,228.0
16,NO,HydroRes,9382.0
16,PL,HydroRes,160.0
16,PT,HydroRes,3440.0
16,RO,HydroRes,4389.0
16,SE,HydroRes,4725.0
16,SI,HydroRes,384.0
16,SK,HydroRes,129.0
16,UK,HydroRes,267.0
17,AT,HydroRes,1061.0
17,BE,HydroRes,7.0
17,BG,HydroRes,189.0
17,CH,HydroRes,1151.0
17,CZ,HydroRes,182.0
17,DE,HydroRes,131.0
17,ES,HydroRes,5831.0
17,FI,HydroRes,486.0
17,FR,HydroRes,5165.0
17,GR,HydroRes,957.0
17,HR,HydroRes,4857.0
17,HU,HydroRes,31.0
17,IE,HydroRes,1.0
17,IT,HydroRes,4365.0
17,LT,HydroRes,41.0
17,LV,HydroRes,226.0
17,NO,HydroRes,9388.0
17,PL,HydroRes,158.0
17,PT,HydroRes,3310.0
17,RO,HydroRes,4235.0
17,SE,HydroRes,4720.0
17,SI,HydroRes,387.0
17,SK,HydroRes,126.0
17,UK,HydroRes,267.0
18,AT,HydroRes,1061.0
18,BE,HydroRes,7.0
18,BG,HydroRes,187.0
18,CH,HydroRes,1161.0
18,CZ,HydroRes,181.0
18,DE,HydroRes,131.0
18,ES,HydroRes,5735.0
18,FI,HydroRes,484.0
18,FR,HydroRes,5024.0
18,GR,HydroRes,1038.0
18,HR,HydroRes,4801.0
18,HU,HydroRes,29.0
18,IE,HydroRes,1.0
18,IT,HydroRes,4339.0
18,LT,HydroRes,40.0
18,LV,HydroRes,224.0
18,NO,HydroRes,9393.0
18,PL,HydroRes,156.0
18,PT,HydroRes,3192.0
18,RO,HydroRes,4096.0
18,SE,HydroRes,4716.0
18,SI,HydroRes,391.0
18,SK,HydroRes,122.0
18,UK,HydroRes,267.0
19,AT,HydroRes,1066.0
19,BE,HydroRes,7.0
19,BG,HydroRes,203.0
19,CH,HydroRes,1160.0
19,CZ,HydroRes,180.0
19,DE,HydroRes,130.0
19,ES,HydroRes,5650.0
19,FI,HydroRes,482.0
19,FR,HydroRes,4897.0
19,GR,HydroRes,1093.0
19,HR,HydroRes,4737.0
